 INFO  Accepting connections at http://localhost:64405
 HTTP  19.05.2026 23:44:40 ::1 GET /index.html
 HTTP  19.05.2026 23:44:40 ::1 Returned 301 in 9 ms
 HTTP  19.05.2026 23:44:40 ::1 GET /team.html
 HTTP  19.05.2026 23:44:40 ::1 Returned 301 in 0 ms
 HTTP  19.05.2026 23:44:40 ::1 GET /journal.html
 HTTP  19.05.2026 23:44:40 ::1 Returned 301 in 0 ms
 HTTP  19.05.2026 23:44:46 ::1 GET /team.html
 HTTP  19.05.2026 23:44:46 ::1 Returned 301 in 0 ms
 HTTP  19.05.2026 23:44:47 ::1 GET /journal.html
 HTTP  19.05.2026 23:44:47 ::1 Returned 301 in 0 ms
 HTTP  19.05.2026 23:44:48 ::1 GET /about.html
 HTTP  19.05.2026 23:44:48 ::1 Returned 301 in 0 ms
 HTTP  19.05.2026 23:44:55 ::1 GET /team.html
 HTTP  19.05.2026 23:44:55 ::1 Returned 301 in 0 ms
 HTTP  19.05.2026 23:44:55 ::1 GET /team
 HTTP  19.05.2026 23:44:55 ::1 Returned 200 in 3 ms
 HTTP  19.05.2026 23:44:56 ::1 GET /journal.html
 HTTP  19.05.2026 23:44:56 ::1 Returned 301 in 1 ms
 HTTP  19.05.2026 23:44:56 ::1 GET /journal
 HTTP  19.05.2026 23:44:56 ::1 Returned 200 in 1 ms
 HTTP  19.05.2026 23:44:57 ::1 GET /about.html
 HTTP  19.05.2026 23:44:57 ::1 Returned 301 in 1 ms
 HTTP  19.05.2026 23:44:57 ::1 GET /about
 HTTP  19.05.2026 23:44:57 ::1 Returned 200 in 1 ms
 HTTP  19.05.2026 23:47:10 ::1 GET /
 HTTP  19.05.2026 23:47:10 ::1 Returned 200 in 2 ms
 HTTP  19.05.2026 23:47:10 ::1 GET /css/style.css
 HTTP  19.05.2026 23:47:10 ::1 GET /images/ed4m.png
 HTTP  19.05.2026 23:47:10 ::1 GET /images/metro-moscow-2020.jpg
 HTTP  19.05.2026 23:47:10 ::1 Returned 200 in 2 ms
 HTTP  19.05.2026 23:47:10 ::1 Returned 200 in 2 ms
 HTTP  19.05.2026 23:47:10 ::1 Returned 200 in 5 ms
 HTTP  19.05.2026 23:47:10 ::1 GET /images/loco-ep20.jpg
 HTTP  19.05.2026 23:47:10 ::1 Returned 200 in 2 ms
 HTTP  19.05.2026 23:47:10 ::1 GET /images/train-ivolga-3.jpg
 HTTP  19.05.2026 23:47:10 ::1 GET /images/reductor.png
 HTTP  19.05.2026 23:47:10 ::1 GET /js/main.js
 HTTP  19.05.2026 23:47:10 ::1 Returned 200 in 2 ms
 HTTP  19.05.2026 23:47:10 ::1 Returned 200 in 4 ms
 HTTP  19.05.2026 23:47:10 ::1 Returned 200 in 7 ms
